,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
449,BEVERAGES TAP DRINKING,99.9,0,0.0,0.0,0.1,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1 fl oz,237.0,"1 serving,  8 fl oz",0.0
450,BEVERAGES TAP MUNICIPAL,99.9,0,0.0,0.0,0.1,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1 fl oz,237.0,"1 bottle,  8 fl oz",0.0
451,BEVERAGES TEA BLACK READY DRINK,97.89,0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,16 fl oz,,,0.0
452,BEVERAGES TEA GREEN BREWED DECAFFEINATED,99.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.01,0.005,,0.0,0.0,0.007,0.058,0.03,,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240 ml,,,0.0
453,BEVERAGES TEA GREEN BREWED REGULAR,99.93,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0,8.0,1.0,0.01,0.004,0.184,0.0,0.3,0.007,0.058,0.03,,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1 cup,29.6,1 fl oz,0.0
454,BEVERAGES TEA HERB BREWED CHAMOMILE,99.7,1,0.0,0.0,0.01,0.2,0.0,0.0,2.0,0.08,1.0,0.0,9.0,1.0,0.04,0.015,0.044,0.0,0.0,0.01,0.004,0.0,0.011,0.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.005,0.0,29.6,1 fl oz,178.0,6 fl oz,0.0
455,BEVERAGES TEA HERB CHAMOMILE BREWED,99.7,1,0.0,0.0,0.0,0.2,0.0,0.0,2.0,0.08,1.0,0.0,9.0,1.0,0.04,0.015,0.044,0.0,0.0,0.01,0.004,0.0,0.011,0.0,1.0,0.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.005,0.0,29.6,1 fl oz,178.0,6 fl oz,0.0
456,BEVERAGES TEA HIBISCUS BREWED,99.58,0,0.0,0.0,0.42,0.0,0.0,0.0,8.0,0.08,3.0,1.0,20.0,4.0,0.04,0.0,0.477,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,8 fl oz,,,0.0
457,BEVERAGES TEA INSTANT DECAFFEINATED UNSWEETENED,5.09,315,20.21,0.0,16.04,58.66,8.5,5.53,118.0,2.26,272.0,239.0,6040.0,72.0,1.69,0.55,133.0,5.3,0.0,0.0,0.985,10.8,4.53,0.356,103.0,0.0,103.0,103.0,118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,"1 serving,  2 tsp",,,0.0
458,BEVERAGES TEA INSTANT LEMON DIET,99.41,2,0.02,0.0,0.14,0.44,0.0,0.01,3.0,0.05,2.0,1.0,14.0,6.0,0.01,0.01,0.155,0.0,0.0,0.0,0.002,0.02,0.008,0.001,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,1 fl oz,179.0,"1 serving,  6 fl oz",0.0
459,BEVERAGES TEA INSTANT LEMON UNSWEETENED,4.3,345,7.4,0.18,9.6,78.52,5.0,4.52,28.0,0.75,139.0,107.0,3453.0,55.0,0.98,0.331,30.67,3.0,0.0,0.017,0.558,6.168,2.597,0.223,61.0,0.0,61.0,61.0,66.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.047,0.012,0.117,0.0,1.4,"1 tsp,  rounded",11.3,"2 tbsp,  rounded",0.0
460,BEVERAGES TEA INSTANT UNSWEETENED POWDER,5.09,315,20.21,0.0,16.04,58.66,8.5,5.53,118.0,2.26,272.0,239.0,6040.0,72.0,1.69,0.55,133.0,5.3,0.0,0.0,0.985,10.8,4.53,0.356,103.0,0.0,103.0,103.0,118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,"1 serving,  1 tsp",,,0.0
461,BEVERAGES TEA INSTANT UNSWEETENED PREPARED,99.62,1,0.06,0.0,0.15,0.17,0.0,0.02,3.0,0.01,2.0,1.0,18.0,4.0,0.01,0.011,0.392,0.0,0.0,0.0,0.003,0.032,0.013,0.001,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,1 fl oz,178.0,"1 serving,  6 fl oz",0.0
462,BEVERAGES TEA OOLONG BREWED,99.84,1,0.0,0.0,0.02,0.15,0.0,0.0,1.0,0.0,1.0,1.0,12.0,3.0,0.01,0.0,0.21,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
463,BEVERAGES TROPICAL PUNCH READY DRINK,97.49,10,0.0,0.0,0.01,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1 NLEA Serving,200.0,200 ml,0.0
464,BEVERAGES V FUSION JUICES TROPICAL,88.0,49,0.41,0.0,0.21,11.38,0.0,10.16,8.0,0.15,7.0,,118.0,33.0,,,,,24.4,,,,,0.016,3.0,,3.0,,,,1626.0,,,,,,,,0.55,,,,,,,,246.0,"1 serving, 8 oz",,,0.0
465,BEVERAGES WHEY PROTEIN POWDER ISOLATE,0.86,359,58.14,1.16,10.77,29.07,0.0,1.16,698.0,1.26,233.0,581.0,872.0,372.0,8.72,1.163,1.16,40.7,34.9,0.872,0.988,11.628,5.814,1.163,233.0,233.0,0.0,395.0,225.0,3.49,2907.0,872.0,872.0,0.0,1.0,0.0,0.0,0.0,7.85,0.0,0.0,46.5,0.581,0.149,0.021,12.0,86.0,3 scoop,,,0.0
466,BEVERAGES WHISKEY SOUR MIX BOTTLED,78.2,87,0.1,0.1,0.2,21.4,0.0,21.4,2.0,0.11,1.0,6.0,28.0,102.0,0.07,0.0,0.0,0.4,2.7,0.013,0.01,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.002,0.02,0.0,32.3,1 fl oz,65.0,2 fl oz,0.0
467,BEVERAGES WHISKEY SOUR MIX POWDER,0.6,383,0.6,0.1,1.4,97.3,0.0,97.3,272.0,0.39,19.0,13.0,19.0,274.0,0.14,0.13,0.0,0.6,2.7,0.005,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,,0.01,30.0,2.0,0.0,,,,,,,,,,0.019,0.006,0.037,0.0,17.0,1 packet,,,0.0
468,BEVERAGES WINE NON ALCOHOLIC,98.2,6,0.5,0.0,0.2,1.1,0.0,1.1,9.0,0.4,10.0,15.0,88.0,7.0,0.08,0.011,,0.2,0.0,0.0,0.01,0.1,,0.02,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1 fl oz,,,0.0
469,BEVERAGES ZEVIA COLA,98.36,0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,1 can,,,0.0
470,BEVERAGES ZEVIA COLA CAFFEINE FREE,98.87,0,0.0,0.0,0.01,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,1 can,,,0.0
471,BISCUITS MIXED GRAIN REFRIGERATED DOUGH,37.8,263,6.1,5.6,3.1,47.4,,,17.0,2.75,30.0,236.0,456.0,670.0,0.6,0.115,0.659,,0.0,0.39,0.21,3.4,0.315,0.065,83.0,71.0,12.0,133.0,,0.0,0.0,0.0,0.0,,,,,,,,,,1.366,2.932,0.88,0.0,28.35,1 oz,44.0,"1 biscuit,  (2-1/2"" dia)",0.0
472,BISCUITS PLAIN BUTTERMILK DRY MIX,9.2,428,8.0,15.4,4.0,63.4,2.1,11.65,179.0,2.77,25.0,585.0,163.0,1276.0,0.6,0.154,0.34,7.5,0.3,0.575,0.437,4.542,0.884,0.076,125.0,91.0,34.0,189.0,11.0,0.39,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.13,0.0,0.0,6.5,3.965,8.584,2.011,2.0,120.0,"1 cup,  purchased",114.0,"1 cup,  homemade",0.0
473,BISCUITS PLAIN BUTTERMILK FROZEN BAKED,26.7,338,6.2,11.03,2.2,53.87,1.3,3.48,49.0,3.3,17.0,430.0,224.0,942.0,0.48,0.083,0.392,18.8,0.0,0.427,0.292,3.352,0.3,0.047,70.0,58.0,12.0,111.0,20.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.32,0.0,0.0,4.1,1.676,4.647,4.178,1.0,28.35,1 oz,77.0,1 large,0.0
474,BISCUITS PLAIN BUTTERMILK PREPARED RECIPE,28.9,353,7.0,16.3,3.2,44.6,1.5,2.18,235.0,2.9,18.0,164.0,121.0,580.0,0.54,0.082,0.378,19.5,0.2,0.356,0.31,2.949,0.285,0.035,61.0,49.0,12.0,95.0,,0.08,82.0,,,,,,,,,,,,4.324,6.93,4.163,3.0,28.35,1 oz,101.0,"1 biscuit,  (4"" dia)",0.0
475,BISON GROUND GRASS FED COOKED,65.09,179,25.45,8.62,1.02,0.0,0.0,0.0,14.0,3.19,23.0,213.0,353.0,76.0,5.34,0.151,,31.1,0.0,0.139,0.264,5.966,,0.401,16.0,0.0,16.0,16.0,97.2,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.3,3.489,3.293,0.402,71.0,85.0,3 oz,,,0.0
476,BISON GROUND GRASS FED RAW,71.59,146,20.23,7.21,0.91,0.05,0.0,0.0,11.0,2.78,21.0,194.0,328.0,70.0,4.59,0.14,,20.0,0.0,0.141,0.246,5.322,,0.383,12.0,0.0,12.0,12.0,85.8,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,1.2,2.917,2.753,0.336,55.0,85.0,"1 patty,  (cooked from 4 oz raw)",28.35,1 oz,0.0
477,BLACKBERRIES CANNED HEAVY SYRUP,75.06,92,1.31,0.14,0.39,23.1,3.4,19.7,21.0,0.65,17.0,14.0,99.0,3.0,0.18,0.133,0.697,0.3,2.8,0.027,0.039,0.287,0.151,0.036,27.0,0.0,27.0,27.0,5.7,0.0,219.0,11.0,0.0,0.0,131.0,0.0,0.0,79.0,0.78,0.0,0.0,13.3,0.005,0.014,0.08,0.0,256.0,1 cup,,,0.0
478,BLACKBERRIES FROZEN UNSWEETENED,82.21,64,1.18,0.43,0.51,15.67,5.0,10.67,29.0,0.8,22.0,30.0,140.0,1.0,0.25,0.12,1.223,0.4,3.1,0.029,0.046,1.207,0.151,0.061,34.0,0.0,34.0,34.0,8.5,0.0,114.0,6.0,0.0,0.0,68.0,0.0,0.0,118.0,1.17,0.0,0.0,19.8,0.015,0.041,0.245,0.0,151.0,"1 cup, unthawed",510.0,"1 package,  (18 oz)",0.0
479,BLACKBERRIES RAW,88.15,43,1.39,0.49,0.37,9.61,5.3,4.88,29.0,0.62,20.0,22.0,162.0,1.0,0.53,0.165,0.646,0.4,21.0,0.02,0.026,0.646,0.276,0.03,25.0,0.0,25.0,25.0,8.5,0.0,214.0,11.0,0.0,0.0,128.0,0.0,0.0,118.0,1.17,0.0,0.0,19.8,0.014,0.047,0.28,0.0,144.0,1 cup,,,4.0
480,BLACKBERRIES WILD NATIVE,88.05,52,0.84,1.07,0.21,9.84,3.2,3.65,5.0,0.21,4.0,11.0,75.0,6.0,0.15,0.222,0.287,,4.7,0.06,0.144,0.314,1.258,0.039,11.0,0.0,11.0,11.0,,0.0,46.0,5.0,0.0,0.0,27.0,0.0,0.0,,0.91,,,5.9,,,,,157.0,1 cup,,,0.0
481,BLACKBERRY JUICE CANNED,90.9,38,0.3,0.6,0.4,7.8,0.1,7.7,12.0,0.48,21.0,12.0,135.0,1.0,0.41,0.114,,0.3,11.3,0.012,0.018,0.446,,0.021,10.0,0.0,10.0,10.0,6.6,0.0,123.0,6.0,0.0,0.0,74.0,0.0,0.0,68.0,0.9,0.0,0.0,15.2,0.018,0.058,0.344,0.0,250.0,1 cup,,,0.0
482,BLOOD SAUSAGE,47.3,379,14.6,34.5,2.31,1.29,0.0,1.29,6.0,6.4,8.0,22.0,38.0,680.0,1.3,0.04,0.01,15.5,0.0,0.07,0.13,1.2,0.6,0.04,5.0,0.0,5.0,5.0,72.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.3,52.0,0.0,13.4,15.9,3.46,120.0,100.0,4 slices,,,0.0
483,BLUEBERRIES CANNED HEAVY SYRUP,76.78,88,0.65,0.33,0.17,22.06,1.6,20.46,5.0,0.33,4.0,10.0,40.0,3.0,0.07,0.053,0.203,0.1,1.1,0.034,0.053,0.113,0.089,0.036,2.0,0.0,2.0,2.0,4.0,0.0,36.0,2.0,0.0,0.0,22.0,0.0,0.0,53.0,0.38,0.0,0.0,6.4,0.027,0.047,0.144,0.0,256.0,1 cup,,,0.0
484,BLUEBERRIES CANNED LIGHT SYRUP DRAINED,75.72,88,1.04,0.4,0.18,22.66,2.6,17.45,6.0,0.43,4.0,12.0,54.0,3.0,0.09,0.053,0.44,0.1,0.5,0.046,0.132,0.363,0.041,0.049,2.0,0.0,2.0,2.0,4.0,0.0,36.0,2.0,0.0,0.0,22.0,0.0,0.0,53.0,1.38,0.0,0.0,19.9,0.028,0.062,0.19,0.0,244.0,1 cup,,,0.0
485,BLUEBERRIES DRIED SWEETENED,14.8,317,2.5,2.5,0.73,80.0,7.5,67.5,19.0,0.9,18.0,36.0,214.0,3.0,0.49,0.16,,0.6,23.8,0.092,0.127,1.154,,0.152,12.0,0.0,12.0,12.0,18.5,0.0,141.0,7.0,0.0,0.0,84.0,0.0,0.0,208.0,2.35,0.0,0.0,59.4,0.2,0.405,1.3,0.0,40.0,.25 cup,,,0.0
486,BLUEBERRIES FROZEN SWEETENED,77.4,85,0.4,0.13,0.12,21.95,2.2,19.72,6.0,0.39,2.0,7.0,60.0,1.0,0.06,0.039,0.262,0.2,1.0,0.02,0.052,0.253,0.125,0.059,7.0,0.0,7.0,7.0,5.5,0.0,49.0,2.0,0.0,0.0,30.0,0.0,0.0,73.0,0.52,0.0,0.0,17.7,0.011,0.018,0.057,0.0,230.0,"1 cup, thawed",284.0,"1 package,  (10 oz)",0.0
487,BLUEBERRIES FROZEN UNSWEETENED,86.59,51,0.42,0.64,0.18,12.17,2.7,8.45,8.0,0.18,5.0,11.0,54.0,1.0,0.07,0.033,0.147,0.1,2.5,0.032,0.037,0.52,0.125,0.059,7.0,0.0,7.0,7.0,5.1,0.0,46.0,2.0,0.0,0.0,28.0,0.0,0.0,68.0,0.48,0.0,0.0,16.4,0.053,0.091,0.279,0.0,155.0,"1 cup, unthawed",567.0,"1 package,  (20 oz)",0.0
488,BLUEBERRIES RAW,84.21,57,0.74,0.33,0.24,14.49,2.4,9.96,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0.124,0.052,6.0,0.0,6.0,6.0,6.0,0.0,54.0,3.0,0.0,0.0,32.0,0.0,0.0,80.0,0.57,0.0,0.0,19.3,0.028,0.047,0.146,0.0,148.0,1 cup,68.0,50 berries,5.0
489,BLUEBERRIES WILD FROZEN,85.8,57,0.0,0.16,0.19,13.85,4.4,,17.0,0.58,7.0,13.0,68.0,3.0,0.67,,2.87,,1.7,0.03,0.007,0.61,,0.02,,,,,,0.0,59.0,3.0,,2.0,35.0,,,,0.26,0.0,0.0,,0.03,0.02,0.09,0.0,140.0,"1 cup, frozen",,,0.0
490,BLUEBERRIES WILD NATIVE,88.7,44,0.7,0.0,0.2,10.4,,,15.0,1.1,,,,,,,,,2.2,0.03,0.1,0.4,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,0.0
491,BLUEFISH COOKED DRY HEAT,62.64,159,25.69,5.44,1.33,0.0,0.0,,9.0,0.62,42.0,291.0,477.0,77.0,1.04,0.068,0.027,46.8,0.0,0.067,0.097,7.247,0.955,0.464,2.0,0.0,2.0,2.0,,6.22,459.0,138.0,138.0,,,,,,,,,,1.172,2.297,1.358,76.0,117.0,1 fillet,85.0,3 oz,0.0
492,BLUEFISH RAW,70.86,124,20.04,4.24,1.04,0.0,0.0,,7.0,0.48,33.0,227.0,372.0,60.0,0.81,0.053,0.021,36.5,0.0,0.058,0.08,5.95,0.828,0.402,2.0,0.0,2.0,2.0,,5.39,398.0,120.0,120.0,,,,,,,,,,0.915,1.793,1.06,59.0,150.0,1 fillet,85.0,3 oz,0.0
493,BOCKWURST PORK VEAL RAW,54.47,301,14.03,25.87,2.26,2.95,1.0,1.33,41.0,1.15,26.0,169.0,270.0,756.0,2.07,0.1,0.171,11.3,3.2,0.193,0.233,5.616,0.891,0.378,17.0,0.0,17.0,17.0,46.4,0.86,256.0,15.0,2.0,0.0,148.0,2.0,0.0,108.0,0.38,0.0,0.0,70.2,10.256,13.138,2.328,93.0,91.0,1 sausage,,,0.0
494,BOLOGNA BEEF,55.31,299,10.91,26.13,3.37,4.29,0.0,2.05,21.0,1.29,13.0,154.0,351.0,1013.0,1.93,0.053,0.04,11.6,15.2,0.03,0.065,2.321,0.385,0.157,3.0,0.0,3.0,3.0,29.7,1.19,90.0,19.0,17.0,6.0,11.0,11.0,11.0,0.0,0.56,0.7,28.0,2.4,10.487,12.198,1.182,57.0,30.0,1 slice,28.0,1 serving,0.0
495,BOLOGNA BEEF LOW FAT,65.0,204,11.8,14.8,3.2,5.2,0.0,0.0,9.0,1.0,12.0,178.0,147.0,821.0,1.83,0.03,,12.4,1.0,0.05,0.1,2.5,,0.15,5.0,0.0,5.0,5.0,53.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.4,15.0,0.3,5.464,6.455,0.51,44.0,28.0,1 slice,14.0,1 cubic inch,0.0
496,BOLOGNA BEEF PORK,51.87,308,15.2,24.59,2.85,5.49,0.0,4.42,85.0,1.21,17.0,163.0,315.0,960.0,2.3,0.052,0.018,24.6,0.8,0.217,0.185,2.521,0.415,0.297,6.0,0.0,6.0,6.0,65.6,1.82,84.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,32.0,0.3,9.301,10.526,1.12,60.0,100.0,3.527 oz,,,0.0
497,BOLOGNA CHICKEN PORK,50.85,336,10.31,30.61,4.04,4.19,0.0,0.0,196.0,1.12,16.0,223.0,162.0,1240.0,1.04,0.039,0.042,0.0,13.2,0.063,0.129,3.68,0.776,0.19,13.0,0.0,13.0,13.0,,0.5,75.0,13.0,11.0,11.0,11.0,11.0,11.0,0.0,0.64,,,0.6,9.863,13.172,4.348,87.0,28.0,1 serving,28.0,1 slice,0.0
498,BOLOGNA CHICKEN PORK BEEF,56.42,272,11.33,22.73,3.93,5.61,0.0,0.0,92.0,1.25,15.0,227.0,313.0,1120.0,1.22,0.064,0.043,0.0,15.8,0.074,0.135,3.463,0.721,0.227,7.0,0.0,7.0,7.0,59.1,0.59,75.0,13.0,11.0,11.0,11.0,11.0,11.0,0.0,0.25,,,0.1,6.997,9.698,3.475,83.0,28.0,1 serving,28.0,1 slice,0.0
499,BOLOGNA CHICKEN TURKEY PORK,55.25,298,9.88,26.18,3.03,5.65,0.0,0.0,82.0,1.16,15.0,185.0,152.0,922.0,1.28,0.06,0.044,0.0,19.7,0.042,0.132,3.32,0.696,0.18,9.0,0.0,9.0,9.0,53.3,0.79,75.0,13.0,11.0,11.0,11.0,11.0,11.0,0.0,0.41,,,0.0,7.99,10.555,4.672,80.0,28.0,1 serving,28.0,1 slice,0.0
500,BOLOGNA LOW FAT,63.4,230,11.5,19.3,3.2,2.6,0.0,0.0,11.0,0.66,12.0,181.0,156.0,1108.0,1.5,0.08,,11.2,0.0,0.17,0.13,2.54,,0.18,5.0,0.0,5.0,5.0,48.2,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.5,19.0,0.3,7.308,9.145,1.639,39.0,138.0,"1 cup, pieces",14.0,1 cubic inch,0.0
501,BOLOGNA MEAT POULTRY,55.93,281,10.34,23.77,3.65,6.31,0.0,1.97,125.0,1.24,15.0,212.0,320.0,1379.0,1.06,0.035,0.038,14.4,0.0,0.047,0.158,3.187,0.771,0.193,7.0,0.0,7.0,7.0,59.3,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.8,34.0,1.7,7.389,10.269,4.59,92.0,33.0,1 slice,,,0.0
502,BOLOGNA PORK,60.6,247,15.3,19.87,3.5,0.73,0.0,0.0,11.0,0.77,14.0,139.0,281.0,907.0,2.03,0.08,0.036,12.7,0.0,0.523,0.157,3.9,0.72,0.27,5.0,0.0,5.0,5.0,54.4,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.4,56.0,0.3,6.839,9.732,2.107,59.0,28.0,"1 slice,  medium (4-1/2"" dia x 1/8"" thick) (1 oz)",23.0,"1 slice,  (4"" dia x 1/8"" thick)",0.0
503,BOLOGNA PORK TURKEY BEEF,45.37,336,11.56,29.25,7.15,6.66,0.0,1.35,31.0,1.2,14.0,128.0,222.0,1055.0,2.22,0.093,0.265,12.4,11.0,0.152,0.15,3.31,0.36,0.388,4.0,0.0,4.0,4.0,,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.7,12.789,2.512,75.0,28.35,1 oz,,,0.0
504,BOLOGNA PORK TURKEY LITE,64.87,211,13.06,16.06,2.56,3.45,0.0,0.0,48.0,1.15,17.0,94.0,138.0,716.0,0.73,0.082,0.155,5.6,0.0,0.159,0.097,3.072,0.34,0.163,18.0,0.0,18.0,18.0,,0.29,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,5.46,7.548,3.051,79.0,56.0,"1 serving,  2 oz",,,0.0
505,BOLOGNA TURKEY,64.55,209,11.42,16.05,3.3,4.68,0.5,2.9,123.0,3.0,16.0,114.0,135.0,1071.0,1.3,0.072,0.051,15.4,13.3,0.049,0.095,2.607,0.466,0.243,9.0,0.0,9.0,9.0,54.0,0.23,32.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6,26.0,0.3,4.355,6.836,3.854,75.0,28.0,".99 oz,  1 serving",28.0,1 serving,0.0
506,BORAGE COOKED BOILED DRAINED SALT,91.88,25,2.09,0.81,1.67,3.55,,,102.0,3.64,57.0,55.0,491.0,88.0,0.22,0.143,0.385,0.9,32.5,0.059,0.165,0.94,0.045,0.088,10.0,0.0,10.0,10.0,,0.0,4385.0,219.0,0.0,,,,,,,0.0,0.0,,0.197,0.245,0.127,0.0,,,,,0.0
507,BORAGE RAW,93.0,21,1.8,0.7,1.44,3.06,,,93.0,3.3,52.0,53.0,470.0,80.0,0.2,0.13,0.349,0.9,35.0,0.06,0.15,0.9,0.041,0.084,13.0,0.0,13.0,13.0,,0.0,4200.0,210.0,0.0,,,,,,,0.0,0.0,,0.17,0.211,0.109,0.0,89.0,"1 cup,  (1"" pieces)",,,20.0
508,BORDER CHEESE ENCHILADA,51.82,271,11.67,17.74,2.57,16.2,1.8,2.89,293.0,0.71,30.0,288.0,176.0,561.0,1.88,0.068,0.129,16.0,,0.065,0.22,0.78,0.37,0.125,14.0,,,,,0.72,195.0,10.0,,0.0,112.0,11.0,1562.0,58.0,0.89,,,,7.52,4.088,2.107,41.0,250.0,"1 serving,  serving size varied from 1 to 3 enchiladas",241.0,2 enchilada,0.0
509,BORDER CHEESE QUESADILLA,30.31,394,16.87,25.5,3.06,24.25,2.2,2.04,432.0,1.52,24.0,373.0,95.0,677.0,2.32,0.061,0.246,23.6,,0.23,0.34,1.985,0.39,0.06,55.0,,,,,0.82,,,,,,,,,0.68,,,,12.976,6.309,2.361,59.0,203.0,"1 serving,  1 quesadilla",,,0.0
510,BORDER MEXICAN RICE,55.2,195,3.56,4.86,2.23,34.15,1.1,1.38,39.0,1.18,15.0,74.0,131.0,677.0,0.38,0.073,0.35,7.3,0.3,0.28,0.086,2.75,0.51,,52.0,,,,9.1,0.09,61.0,3.0,,0.0,37.0,0.0,208.0,100.0,0.59,,,12.3,0.886,1.155,2.298,0.0,114.0,1 cup,,,0.0
