,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
2614,PORK FRESH LOIN COOKED BROILED,57.87,242,27.32,13.92,1.35,0.0,0.0,0.0,19.0,0.87,28.0,246.0,423.0,62.0,2.39,0.073,0.009,45.3,0.6,0.877,0.321,5.037,0.698,0.464,5.0,0.0,5.0,5.0,93.9,0.7,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.29,1.3,53.0,0.0,5.23,6.19,1.2,80.0,85.0,3 oz,87.0,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",21.0
2615,PORK FRESH LOIN COOKED ROASTED,57.51,248,27.09,14.65,1.21,0.0,0.0,0.0,19.0,0.99,26.0,242.0,408.0,59.0,2.32,0.056,0.011,33.4,0.6,0.988,0.313,5.572,0.76,0.516,6.0,0.0,6.0,6.0,93.1,0.71,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.19,1.0,42.0,0.0,5.37,6.51,1.21,82.0,85.0,3 oz,89.0,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",21.0
2616,PORK FRESH LOIN LEAN RAW,72.23,143,21.43,5.66,1.05,0.0,0.0,0.0,17.0,0.84,23.0,211.0,389.0,52.0,1.84,0.062,0.012,36.1,0.6,0.989,0.267,4.915,0.781,0.527,5.0,0.0,5.0,5.0,75.6,0.63,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.5,22.0,0.0,1.95,2.56,0.61,59.0,85.0,3 oz,106.0,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",30.0
2617,PORK FRESH LOIN RAW,66.92,198,19.74,12.58,0.96,0.0,0.0,0.0,18.0,0.79,21.0,197.0,356.0,50.0,1.74,0.056,0.011,33.2,0.6,0.901,0.248,4.58,0.723,0.472,1.0,0.0,1.0,1.0,69.7,0.53,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.21,0.5,21.0,0.0,4.36,5.61,1.34,63.0,85.0,3 oz,117.0,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",22.0
2618,PORK FRESH LOIN TENDERLOIN RAW,74.97,120,20.65,3.53,1.01,0.0,0.0,0.0,6.0,0.97,27.0,243.0,393.0,52.0,1.87,0.089,0.014,30.3,0.0,0.982,0.337,6.61,0.837,0.765,0.0,0.0,0.0,0.0,79.7,0.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.3,10.0,0.0,1.181,1.355,0.562,65.0,85.0,3 oz,505.0,"1 roast,  (Yield from 1 raw roast, with refuse, weighing 504g)",5.0
2619,PORK FRESH RAW,62.47,245,17.43,18.87,0.88,0.0,0.0,,5.0,0.85,20.0,199.0,315.0,47.0,1.93,0.065,0.023,29.4,0.7,0.736,0.2,4.574,0.685,0.401,7.0,0.0,7.0,7.0,,0.63,7.0,0.0,0.0,,,,,,,0.5,20.0,,6.54,8.38,2.01,73.0,28.35,1 oz,453.6,1 lb,17.0
2620,PORK FRESH RUMP HALF RAW,68.64,182,20.27,10.63,1.05,0.0,0.0,0.0,12.0,0.62,20.0,216.0,356.0,73.0,1.7,0.079,0.009,19.7,0.0,0.498,0.309,5.623,0.63,0.506,0.0,0.0,0.0,0.0,69.6,0.4,16.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,18.0,0.0,3.526,4.445,2.156,63.0,28.35,1 oz,453.6,1 lb,17.0
2621,PORK FRESH SHANK HALF RAW,67.69,193,19.87,11.96,1.03,0.0,0.0,0.0,12.0,0.69,19.0,204.0,329.0,84.0,2.02,0.131,0.022,19.5,0.0,0.47,0.307,5.75,0.594,0.475,0.0,0.0,0.0,0.0,68.2,0.54,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.31,0.5,20.0,0.0,3.942,5.067,2.412,67.0,85.0,3 oz,453.6,1 lb,28.0
2622,PORK FRESH SHOULDER COOKED ROASTED,54.8,292,23.28,21.39,1.11,0.0,0.0,0.0,24.0,1.32,18.0,212.0,329.0,68.0,3.71,0.113,0.022,33.4,0.5,0.581,0.329,3.991,0.6,0.288,5.0,0.0,5.0,5.0,80.0,0.8,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19,1.5,61.0,0.0,7.86,9.47,2.05,90.0,135.0,"1 cup, diced",85.0,3 oz,25.0
2623,PORK FRESH SHOULDER LEAN RAW,72.63,148,19.55,7.14,1.02,0.0,0.0,,14.0,1.22,21.0,202.0,341.0,76.0,3.14,0.097,0.012,29.5,0.8,0.884,0.314,4.275,0.822,0.415,5.0,0.0,5.0,5.0,,0.84,6.0,2.0,2.0,,,,,,,,,,2.47,3.23,0.77,67.0,28.35,1 oz,453.6,1 lb,39.0
